command	availability	go_package	effective_owner	implementation_source	parser_model	base_synopsis	conditional_synopsis	applicability	required_options	conditional_options	compatibility_scope	option_arguments	operands	operand_rules	special_tokens	stdin	environment	stdout	stderr	effects	exit_status	clause_ids	standard_source	parser_source	go_evidence	shell_evidence	shell_routing_evidence	provider_evidence	evidence_state
echo	go	cmds/echo	shell	shell:echo	shell_builtin	echo [string...]	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	string;\a;\b;\c;\f;\n;\r;\t;\v;\\;\0num	Zero or more string operands are separated by one space in output; XSI escape sequences in operands are interpreted.	The operand -- is data: echo does not recognize it as the Guideline 10 end-of-options delimiter. A lone - is also a string operand.	Not used.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	Write the string operands separated by single spaces and followed by a newline; with no operands, write only a newline. XSI escape processing can suppress that newline with \c.	Used only for diagnostic messages.	stdout_only	0 for successful completion; greater than 0 if an error occurs.	XCU:echo:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/echo.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteEcho	-	unverified
ed	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#ed	external	ed [-p string] [-s] [file]	-	base	-p;-s	-	POSIX Issue 7 only; GNU compatibility is out of scope	-p=<string>	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	HOME;LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:ed:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/ed.html	-	-	-	-	-	unverified
env	go	cmds/env	go	cmds/env	flagset	env [-i] [name=value]... [utility [argument...]]	-	base	-i	-	POSIX Issue 7 only; GNU compatibility is out of scope	NONE	name=value;utility;argument	Start with the inherited environment or, under -i, an empty environment; apply leading name=value operands in order; the first non-assignment names the utility and all later operands are its arguments; search with the resulting PATH.	-- ends env option parsing; after the first non-option operand all remaining strings belong to the assignment or utility operand sequence; Issue 7 leaves a first argument of - unspecified.	Not read by env; when utility is present, pass standard input through to that utility.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH;PATH	With no utility, write each resulting name=value entry followed by a newline; with a utility, env writes nothing and passes through the utility standard output.	Used only for env diagnostics; an invoked utility inherits standard error.	Writes the resulting environment or invokes utility directly with that environment and the supplied arguments.	With utility, return its exit status; otherwise 0 on success, 1-125 for an env error, 126 when utility is found but cannot be invoked, and 127 when it cannot be found.	XCU:env:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/env.html	cmds/env	cmds/env/env_test.go#TestEnv;cmds/env/env_test.go#TestEnvRunsCommandWithModifiedEnvironment;cmds/env/env_test.go#TestEnvCommandStdioAndExitStatus;cmds/env/env_test.go#TestEnvCommandNotFoundAndNotExecutable;cmds/env/env_test.go#TestEnvWriteErrorDiagnostic;cmds/env/env_exec_test.go#TestEnvExecPassesArgvVerbatimWithoutShell;cmds/env/env_exec_test.go#TestEnvExecChildEnvironmentOrdering;cmds/env/env_exec_test.go#TestEnvExecStdioPassthroughAndSilence;cmds/env/env_exec_test.go#TestEnvExecEmptyPathSearchesWorkingDirectoryOnly;cmds/env/env_exec_test.go#TestEnvDoubleDashEndsOptions	-	-	-	partial
ex	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#ex	external	-	optional::ex [-rR] [-s|-v] [-c command] [-t tagstring] [-w size] [file...]	optional	-	optional:-c,-r,-R,-s,-t,-v,-w	POSIX Issue 7 only; GNU compatibility is out of scope	-c=<command>;-t=<tagstring>;-w=<size>	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	COLUMNS;EXINIT;HOME;LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;LINES;NLSPATH;PATH;SHELL;TERM	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:ex:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/ex.html	-	-	-	-	-	unverified
expand	go	cmds/expand	go	cmds/expand	flagset	expand [-t tablist] [file...]	-	base	-t	-	POSIX Issue 7 only; GNU compatibility is out of scope	-t=<tablist>	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:expand:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/expand.html	cmds/expand	-	-	-	-	unverified
expr	go	cmds/expr	go	cmds/expr	custom	expr operand...	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	operand	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	0 non-null/non-zero result; 1 null/zero result; greater than 1 on error.	XCU:expr:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/expr.html	cmds/expr	-	-	-	-	unverified
false	go	cmds/false	shell	shell:false	shell_builtin	false	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	-	No operands are specified.	UNVERIFIED	Not used.	-	Not used.	Not used.	status_only	Always greater than 0.	XCU:false:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/false.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteFalse	-	unverified
fc	shell_only	-	shell	shell:fc	shell_builtin	fc -l [-nr] [first [last]] ; fc -s [old=new] [first]	optional::fc [-r] [-e editor] [first [last]]	base;optional	-l;-n;-r;-s	optional:-e	POSIX Issue 7 only; GNU compatibility is out of scope	-e=<editor>	first, last;[+]number;-number;string;old=new	UNVERIFIED	UNVERIFIED	UNVERIFIED	FCEDIT;HISTFILE;HISTSIZE;LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:fc:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/fc.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteFc	-	unverified
fg	shell_only	-	shell	shell:fg	shell_builtin	-	optional::fg [job_id]	optional	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	job_id	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:fg:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/fg.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteFg	-	unverified
file	go	cmds/file	go	cmds/file	flagset	file [-dh] [-M file] [-m file] file... ; file -i [-h] file...	-	base	-d;-h;-i;-M;-m	-	POSIX Issue 7 only; GNU compatibility is out of scope	-M=<file>;-m=<file>	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:file:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/file.html	cmds/file	-	-	-	-	unverified
find	go	cmds/find	go	cmds/find	custom	find [-H|-L] path... [operand_expression...]	-	base	-H;-L	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	+n;n;-n;-name pattern;-path pattern;-nouser;-nogroup;-xdev;-prune;-perm [-]mode;-perm [-]onum;-type c;-links n;-user uname;-group gname;-size n[c];-atime n;-ctime n;-mtime n;-exec utility_name [argument ...] ;;-exec utility_name [argument ...] {} +;-ok utility_name [argument ...] ;;-print;-newer file;-depth;( expression );! expression;expression [-a] expression;expression -o expression	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH;PATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:find:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/find.html	cmds/find	-	-	-	-	unverified
fold	go	cmds/fold	go	cmds/fold	flagset	fold [-bs] [-w width] [file...]	-	base	-b;-s;-w	-	POSIX Issue 7 only; GNU compatibility is out of scope	-w=<width>	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:fold:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/fold.html	cmds/fold	-	-	-	-	unverified
getconf	go	cmds/getconf	go	cmds/getconf	flagset	getconf [-v specification] system_var ; getconf [-v specification] path_var pathname	-	base	-v	-	POSIX Issue 7 only; GNU compatibility is out of scope	-v=<specification>	path_var;pathname;system_var	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:getconf:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/getconf.html	cmds/getconf	-	-	-	-	unverified
getopts	shell_only	-	shell	shell:getopts	shell_builtin	getopts optstring name [arg...]	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	optstring;name	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH;OPTIND	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:getopts:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/getopts.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteGetopts	-	unverified
grep	go	cmds/grep	go	cmds/grep	flagset	grep [-E|-F] [-c|-l|-q] [-insvx] -e pattern_list [-e pattern_list]... [-f pattern_file]... [file...] ; grep [-E|-F] [-c|-l|-q] [-insvx] [-e pattern_list]... -f pattern_file [-f pattern_file]... [file...] ; grep [-E|-F] [-c|-l|-q] [-insvx] pattern_list [file...]	-	base	-E;-F;-c;-e;-f;-i;-l;-n;-q;-s;-v;-x	-	POSIX Issue 7 only; GNU compatibility is out of scope	-e=<pattern_list>;-f=<pattern_file>	pattern_list;file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	0 selected lines found; 1 none found; greater than 1 on error.	XCU:grep:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/grep.html	cmds/grep	-	-	-	-	unverified
hash	shell_only	-	shell	shell:hash	shell_builtin	hash [utility...] ; hash -r	-	base	-r	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	utility	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH;PATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:hash:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/hash.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteHash	-	unverified
head	go	cmds/head	go	cmds/head	flagset	head [-n number] [file...]	-	base	-n	-	POSIX Issue 7 only; GNU compatibility is out of scope	-n=<number>	file	Copy the first number lines of every file operand, or 10 lines when -n is absent; copy an entire shorter file without error; no operands selects standard input; process multiple operands in order.	-- ends option parsing; this implementation treats a file operand of - as standard input.	Used when no file operand is supplied and for each - operand; otherwise not used.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	Write each designated input portion; with multiple operands prefix the first with ==> pathname <== and later ones with a preceding newline before the same header form.	Used only for diagnostic messages.	Reads inputs without modifying them; output is standard output only.	0 for successful completion; greater than 0 if an error occurs.	XCU:head:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/head.html	cmds/head	cmds/head/head_test.go#TestHead;cmds/head/head_test.go#TestHeadHeaders;cmds/head/head_test.go#TestHeadErrors;cmds/head/head_test.go#TestHeadWriteError	-	-	-	partial
iconv	go	cmds/iconv	go	cmds/iconv	flagset	iconv [-cs] -f frommap -t tomap [file...] ; iconv -f fromcode [-cs] [-t tocode] [file...] ; iconv -t tocode [-cs] [-f fromcode] [file...] ; iconv -l	-	base	-c;-f;-l;-s;-t	-	POSIX Issue 7 only; GNU compatibility is out of scope	-f=<fromcodeset>;-t=<tocodeset>	file	Convert each file operand in order into one continuing output stream; no operands selects standard input; an open failure diagnoses the operand, continues with the rest, and fails the invocation.	-- ends option parsing; a file operand of - selects standard input; a / in a -f/-t value (the charmap-file form) is not supported and is rejected before any I/O.	Used when no file operands are given and for each - operand.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	The input characters converted to the target codeset; -l writes the supported codeset names.	Used only for diagnostic messages; -s suppresses invalid-character conversion messages without changing the exit status.	Reads inputs without modifying them; -c omits characters that cannot be converted while keeping the failure status, and a discard recorded for one operand survives later operands.	0 successful conversion of all input; greater than 0 if an error occurs; -s never changes the status and -c keeps discarded characters counted as a failure.	XCU:iconv:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/iconv.html	cmds/iconv	cmds/iconv/iconv_test.go#TestUTF8ToISO88591;cmds/iconv/iconv_test.go#TestFilesResolveAgainstRunContextDir;cmds/iconv/iconv_test.go#TestMalformedInputFailsAndSilentOnlySuppressesConversionMessage;cmds/iconv/iconv_test.go#TestUnrepresentableOutputFails;cmds/iconv/iconv_test.go#TestUnsupportedEncodingFailsLoudly;cmds/iconv/iconv_test.go#TestDiscardInvalidOmitsUntranslatableCharacters;cmds/iconv/iconv_test.go#TestOmittedEncodingUsesLocaleCodeset;cmds/iconv/iconv_test.go#TestOmittedEncodingHonorsLocaleCodeset;cmds/iconv/iconv_test.go#TestListEncodings;cmds/iconv/iconv_test.go#TestSuffixRejectionPreIO;cmds/iconv/iconv_discard_state_test.go#TestDiscardStatusSurvivesLaterEmptyOperand;cmds/iconv/iconv_discard_state_test.go#TestDiscardTruncatedGB18030FourByteTailFails	-	-	-	partial
id	go	cmds/id	go	cmds/id	flagset	id [user] ; id -G [-n] [user] ; id -g [-nr] [user] ; id -u [-nr] [user]	-	base	-G;-g;-n;-r;-u	-	POSIX Issue 7 only; GNU compatibility is out of scope	NONE	user	At most one user operand naming a login; with an operand the user database supplies the IDs and group set and the effective IDs are treated as identical to the real IDs; without an operand the invoking process is reported, including differing effective IDs.	-- ends option parsing; no operand token is special.	Not used.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	"Default form writes ""uid=%u(%s) gid=%u(%s)"" with euid=/egid= inserted only when effective and real IDs differ and a groups= list of distinct affiliations; -u/-g write one ID as ""%u"" (the name with -n, the real ID with -r); -G writes all distinct group IDs space-separated; an unmappable name falls back to the bare number."	Used only for diagnostic messages.	Read-only query of the process credentials and the user and group databases.	0 successful completion; greater than 0 if an error occurs.	XCU:id:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/id.html	cmds/id	cmds/id/id_test.go#TestIDDefault;cmds/id/id_test.go#TestIDDefaultIncludesNames;cmds/id/id_test.go#TestIDDefaultReportsRealAndEffectiveWhenDifferent;cmds/id/id_test.go#TestIDDefaultOmitsEffectiveWhenEqual;cmds/id/id_test.go#TestIDCurrentGroupsUseLiveProcessVector;cmds/id/id_test.go#TestIDOnlyFlags;cmds/id/id_unix_test.go#TestIDRealAndEffectiveSelectors;cmds/id/id_test.go#TestIDRealFlagWithOptions;cmds/id/id_test.go#TestIDRealFlag;cmds/id/id_test.go#TestIDNamedUser;cmds/id/id_test.go#TestIDErrors;cmds/id/id_test.go#TestIDRejectsExtraUserOperand	-	-	-	partial
jobs	shell_only	-	shell	shell:jobs	shell_builtin	-	optional::jobs [-l|-p] [job_id...]	optional	-	optional:-l,-p	POSIX Issue 7 only; GNU compatibility is out of scope	-	job_id	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:jobs:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/jobs.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteJobs	-	unverified
join	go	cmds/join	go	cmds/join	flagset	join [-a file_number|-v file_number] [-e string] [-o list] [-t char] [-1 field] [-2 field] file1 file2	-	base	-a;-e;-o;-t;-v;-1;-2	-	POSIX Issue 7 only; GNU compatibility is out of scope	-a=<file_number>;-e=<string>;-o=<list>;-t=<char>;-v=<file_number>;-1=<field>;-2=<field>	file1, file2	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:join:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/join.html	cmds/join	-	-	-	-	unverified
kill	go	cmds/kill	shell	shell:kill	shell_builtin	kill -s signal_name pid... ; kill -l [exit_status] ; kill [-signal_number] pid...	xsi::kill [-signal_name] pid...	base;xsi	-l;-s;-<signal_number>	xsi:-<signal_name>	POSIX Issue 7 only; GNU compatibility is out of scope	-s=<signal_name>	pid;exit_status	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:kill:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/kill.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteKill	-	unverified
ln	go	cmds/ln	go	cmds/ln	flagset	ln [-fs] [-L|-P] source_file target_file ; ln [-fs] [-L|-P] source_file... target_dir	-	base	-f;-L;-P;-s	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	source_file;target_file;target_dir	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:ln:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/ln.html	cmds/ln	-	-	-	-	unverified
locale	go	cmds/locale	go	cmds/locale	flagset	locale [-a|-m] ; locale [-ck] name...	-	base	-a;-c;-k;-m	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	name	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:locale:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/locale.html	cmds/locale	-	-	-	-	unverified
localedef	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#localedef	external	localedef [-c] [-f charmap] [-i sourcefile] [-u code_set_name] name	-	base	-c;-f;-i;-u	-	POSIX Issue 7 only; GNU compatibility is out of scope	-f=<charmap>;-i=<inputfile>;-u=<code_set_name>	name	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:localedef:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/localedef.html	-	-	-	-	-	unverified
logger	go	cmds/logger	go	cmds/logger	flagset	logger string...	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	NONE	string	One or more string operands joined in order with single spaces form the message; with no operands this implementation reads standard input one message per line (a documented non-POSIX extension).	-- ends option parsing so a leading-dash string can be logged; before -- a leading-dash word is parsed as an extension option.	POSIX: not used; read only by the non-POSIX zero-operand extension form.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	Not used.	Used only for diagnostic messages (the -s extension additionally copies each logged message).	Saves the message via the implementation-defined system log: an AF_UNIX datagram to the local syslog socket at priority user.notice on unix; on Windows the unavailable system log is refused loudly.	0 successful completion; greater than 0 if an error occurs (transport open, send, close, or read failure 1; usage 2).	XCU:logger:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/logger.html	cmds/logger	cmds/logger/logger_test.go#TestOperandsJoinWithSingleSpaces;cmds/logger/logger_test.go#TestNoOperandsReadsStdinOneRecordPerLine;cmds/logger/logger_test.go#TestDefaultPriorityAndTag;cmds/logger/logger_test.go#TestDashDashEndsOptions;cmds/logger/logger_test.go#TestSinkOpenFailureIsReported;cmds/logger/logger_test.go#TestSendFailureIsReported;cmds/logger/logger_test.go#TestCloseFailureIsReported;cmds/logger/logger_test.go#TestSendFailureIsNotMaskedByClose;cmds/logger/logger_test.go#TestUnsupportedFlagFailsLoudly;cmds/logger/logger_test.go#TestEmptyStdinLogsNothingAndSucceeds	-	-	-	partial
